[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Creaste este grupo.
‎[20/3/25, 3:56:58 p. m.] Facu: ‎<adjunto: 00000003-PHOTO-2025-03-20-15-56-58.jpg>
[20/3/25, 3:56:58 p. m.] Facu: Caro
‎[20/3/25, 6:45:20 p. m.] Facu: echeq a markplast ‎<adjunto: 00000005-PHOTO-2025-03-20-18-45-20.jpg>
[21/3/25, 11:06:48 a. m.] Achu: Rocío Juarez Sosa pagó $92.565 + $17.985 de envío por Go Cuotas ‎<Se editó este mensaje.>
[21/3/25, 11:08:08 a. m.] Achu: ‎Se eliminó este mensaje.
[21/3/25, 11:09:08 a. m.] Facu: No se escucha nada
[21/3/25, 11:09:26 a. m.] Achu: Creo que se me mandó solo de la compu, sorryy
‎[21/3/25, 11:58:58 a. m.] Guido Avios: ‎<adjunto: 00000010-PHOTO-2025-03-21-11-58-58.jpg>
[21/3/25, 11:58:59 a. m.] Guido Avios: Rocío Juarez a Nico Badanas $87.620
‎[21/3/25, 12:30:32 p. m.] Facu: 105491850793.pdf • ‎1 página ‎<adjunto: 00000012-105491850793.pdf>
[21/3/25, 12:30:32 p. m.] Facu: Pago Shit happens
[21/3/25, 4:42:42 p. m.] Facu: Le pagamos a Arslanian $340.000
‎[21/3/25, 4:43:39 p. m.] Facu: ‎<adjunto: 00000015-PHOTO-2025-03-21-16-43-39.jpg>
[21/3/25, 4:43:39 p. m.] Facu: Mati 
‎[21/3/25, 5:00:01 p. m.] Facu: ‎<adjunto: 00000017-PHOTO-2025-03-21-17-00-01.jpg>
‎[21/3/25, 5:00:01 p. m.] Facu: ‎<adjunto: 00000018-PHOTO-2025-03-21-17-00-01.jpg>
‎[21/3/25, 5:00:01 p. m.] Facu: ‎<adjunto: 00000019-PHOTO-2025-03-21-17-00-01.jpg>
‎[21/3/25, 5:00:01 p. m.] Facu: ‎<adjunto: 00000020-PHOTO-2025-03-21-17-00-01.jpg>
‎[25/3/25, 8:34:34 a. m.] Facu: ‎<adjunto: 00000021-PHOTO-2025-03-25-08-34-34.jpg>
‎[25/3/25, 8:34:34 a. m.] Facu: ‎<adjunto: 00000022-PHOTO-2025-03-25-08-34-34.jpg>
‎[25/3/25, 8:34:34 a. m.] Facu: ‎<adjunto: 00000023-PHOTO-2025-03-25-08-34-34.jpg>
‎[25/3/25, 8:34:34 a. m.] Facu: ‎<adjunto: 00000024-PHOTO-2025-03-25-08-34-34.jpg>
[25/3/25, 8:34:39 a. m.] Facu: Pagos de Shit happpens
